No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,bit.ly/griisamarindalive,,"Kamis, 30 April 2020",
2,06.30 WIB,PD - Nahum & The Doctrine of God,Pdt. Hendra Wijaya,https://zoom.us/j/246316777,Zoom Meeting ID : 246 316 777,"Kamis, 30 April 2020",
3,07.00 WIB,Saat Teduh Bersama - Kerajaan Allah dan Doa (2),Pdt. Eko Aria,http://bit.ly/griimalanglive,https://www.youtube.com/watch?v=BlaCxT858TM,"Kamis, 30 April 2020",
4,09.00 WIB,Kelas Kamis Pagi,Vik. Maria Mazo,https://www.youtube.com/channel/UCCKnd2CHoBHeb8YNDGOrlWw/live,https://zoom.us/j/575530213?pwd=cGhxazBNTkE0aDhPOFdRdDVPa0RqZz09,"Kamis, 30 April 2020",
5,13.00 WIB,Pembinaan Siswa - Allah Tritunggal,Ibu Lolita,youtu.be/lPJnQg18HPk,https://www.youtube.com/channel/UCCKnd2CHoBHeb8YNDGOrlWw/live,"Kamis, 30 April 2020",
6,16.30 WIB,PD & PA - Mazmur-Mazmur Pengharapan - Belas Kasihan Tuhan atas Orang yang Berjalan Maju Sambil Menangis,Pdt. Antonius Steven Un,http://bit.ly/griikebonjeruklive,,"Kamis, 30 April 2020",
7,16.30 WIB,PA - Kitab Injil & Kisah Para Rasul #5 - Injil Lukas : Struktur,Pdt. Aiter,http://bit.ly/griicitralive,,"Kamis, 30 April 2020",
8,17.30 WIB,Persekutuan Doa,MRII Balikpapan,,"Zoom Meeting ID : 839 0428 4324,
Password : 016191","Kamis, 30 April 2020",
11,18.00 WIB,Persekutuan Doa,Pdt. Irwan Hung,bit.ly/griisamarindalive,,"Kamis, 30 April 2020",
9,18.00 WIB,PD & PA Mandarin Pusat,GRII Pusat,https://www.youtube.com/channel/UC6kdcxhW_oXHgHl25i95moA/live,pusat.grii.org/live,"Kamis, 30 April 2020",
10,18.00 WIB,PA - The Hope of A Glorified Church,Pdt. Daniel Santoso,Zoom Meeting ID belum ada,Info hubungi +8618507724439 (klik di sini utk WA),"Kamis, 30 April 2020",
12,18.30 WIB,PA - The Gospel and Faith,Vik. Maria Mazo,https://us02web.zoom.us/j/5520095323?pwd=eTRLVjFnTkZSWHlZNkVkU0JGdzRFZz09,"Zoom Meeting ID : 552 009 5323,
Password : 1234567","Kamis, 30 April 2020",
13,18.30 WIB,PA - Kejutan di Pantai Danau Tiberias,Pdt. Elvis Ratta,,"Zoom Meeting ID : 879 7829 6929,
Password : 005092","Kamis, 30 April 2020",
16,19.00 WIB,Pemahaman Alkitab,PRII Jambi,https://zoom.us/j/88614079700,Zoom Meeting ID : 886 1407 9700,"Kamis, 30 April 2020",
14,19.00 WIB,PD - Keindahan Doktrin Kristen : Dibaptis dalam Roh,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,griibandung.org/live,"Kamis, 30 April 2020",
15,19.00 WIB,KTB Pemuda - The Godly vs The Deadly Sorrow,Vik. Donna Lisa Taula,,"Zoom Meeting ID : 896 2024 5491,
Password : 764624","Kamis, 30 April 2020",
17,19.30 WIB,PA - 11 Penampakan Kristus Sebelum Naik ke Sorga (2),Pdt. Handi Gunawan,https://www.youtube.com/watch?v=qGi1UbBLhc4,,"Kamis, 30 April 2020",
