No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200613,
2,06.30 WIB,Persekutuan Doa Pusat,GRII Pusat,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,20200613,
3,06.30 WIB,PD - Kekayaan Rahmat : 1. Menghidupkan dalam Kristus,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,Zoom Meeting ID : 223 223 2211,20200613,
4,06.30 WIB,Persekutuan Doa,GRII BSD,http://www.grii-bsd.org/live/,,20200613,
5,07.00 WIB,Saat Teduh Bersama - Gadis Bodoh dan Gadis Bijaksana,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200613,
6,07.00 WIB,Persekutuan Doa,GRII Pondok Indah,https://zoom.us/j/97578233474,Zoom Meeting ID: 975 7823 3474,20200613,
7,07.00 WIB,Persekutuan Doa,GRII Karawaci,https://zoom.us/j/98538361319,Zoom Meeting ID : 985 3836 1319,20200613,
8,07.00 WIB,Persekutuan Doa,MRII Makassar,"Zoom Meeting ID : 552 009 5323,
 Password : 1234567",,20200613,
9,07.00 WIB,Persekutuan Doa,Vik. Stenly Y. Lailewan,https://www.facebook.com/Mimbar-Reformed-Injili-Indonesia-Bogor-104262257972271,,20200613,
10,07.30 WIB,Persekutuan Doa,MRII PIK,https://zoom.us/j/335979844,,20200613,
11,08.00 WIB,PA Anak - Pohon Iman :,IREC Tokyo,https://zoom.us/j/92579844217?pwd=VjRDSkRWREJndlpmckVacEwyZnJFdz09,,20200613,
13,08.30 WIB,Tanya Jawab Umum - GRII Karawaci,"Pdt. David Tong, 
 Pdt. Budi Sutrisno",https://www.youtube.com/channel/UCfTHYV5ssBlQGIREemrq51Q/live,,20200613,
14,08.30 WIB,PA Dewasa Muda,GRII Melbourne,https://myaf.online/zoom,,20200613,
15,10.00 WIB,PA Anak -,MRII Depok,http://bit.ly/mriidepoklive,,20200613,
16,11.00 WIB,PA Anak,GRII Palembang,https://www.youtube.com/channel/UC4uWpMyApTP25d5nE57M_Lg/live,,20200613,
17,11.00 WIB,Persekutuan Doa,GRII Sydney,https://us02web.zoom.us/j/87654253319?pwd=cnF3cnZDMDlYNEpDeGhkTTdSaHg1Zz09,https://www.facebook.com/griisydney,20200613,
18,13.00 WIB,Persekutuan Pemuda & Pekerja,GRII Sydney,https://us02web.zoom.us/j/86492799186?pwd=MVF4REdwQkViemUwSVJpUS96amcvZz09,,20200613,
19,13.00 WIB,PA Anak -,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,20200613,
23,14.00 WIB,Persekutuan Remaja,GRII Pondok Indah,"Zoom Meeting ID: 835 9036 6833,
 Password: 449481",,20200613,
22,14.00 WIB,Persekutuan Pra-Remaja,GRII Pondok Indah,"Zoom Meeting ID: 921 5144 6437,
 Password: 039453",,20200613,
20,14.00 WIB,Women's Fellowship - Christ Jesus Our Wisdom (Session 2),Vik. Rudy Phen,Pendaftaran hubungi WA : https://wa.me/628121051985,,20200613,
21,14.00 WIB,PA Remaja & Pemuda - Christ in The Old Testament :,GRII Singapura,https://zoom.us/j/98185321952?pwd=NVNKLzFqdFFEMDBwcXJkdWpiQzBadz09,,20200613,
24,15.00 WIB,"PA Remaja & Pemuda - Perseverance & Assurance : Once Saved, Always Saved?","Sdr. Alfret Y. Tadjo Talo,
 Sdr. Doni H. Harianja",https://zoom.us/j/8434545367,Live FB : http://facebook.com/mrii.depok,20200613,
31,16.00 WIB,PA Anak Seri Tokoh - Esau : Kemah vs Padang,Ibu Yuliawati G.,http://bit.ly/griicitralive,,20200613,
25,16.00 WIB,PA Pemuda & Pekerja - Wise Living : Tongue,Pdt. Jethro Rachmadi,https://griikg.org/live/,Zoom : http://bit.ly/PAPPGRIIKG,20200613,
26,16.00 WIB,Persekutuan Doa,GRII Buaran,http://bit.ly/griibuaranlive,,20200613,
27,16.00 WIB,PA Remaja - Westminster Shorter Cathecism : Question 7,Pdt. Amin Khouw,https://zoom.us/j/87674581530,Zoom Meeting ID : 876 7458 1530,20200613,
28,16.00 WIB,PA Remaja,GRII Bintaro,,,20200613,
