No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Selasa, 2 Juni 2020",
2,07.00 WIB,Saat Teduh Bersama - Gereja yang Berkuasa,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Selasa, 2 Juni 2020",
3,10.00 WIB,PA Wanita,GRII Pondok Indah,https://zoom.us/j/982555264,Zoom Meeting ID: 982 555 264,"Selasa, 2 Juni 2020",
4,14.00 WIB,PA Wanita - Angsa Hitam dan Angsa Putih,Ibu Murniaty Santoso,https://griikg.org/live/,,"Selasa, 2 Juni 2020",
5,16.00 WIB,PA - 10 Days Around The Ancient World with Paul : Paul's First Mission #2,Pdt. Aiter,http://bit.ly/griicitralive,Peta perjalanan (di brosur) : https://drive.google.com/drive/folders/1-ux9sTbmh4_0RpenUB9b2YGw1o0YfuBM?usp=sharing,"Selasa, 2 Juni 2020",
6,17.00 WIB,PA & PD - Iman Kristen yang Bertumbuh : Mematikan Diri,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Selasa, 2 Juni 2020",
7,17.00 WIB,PA - Ucapan-ucapan Rasul Paulus yang Sulit dalam Surat Roma : Hamba Dosa,Vik. Tommy Suryadi,https://www.youtube.com/user/griicikarang/live,http://us02web.zoom.us/j/83189823625?pwd=YzRkRWpzWWx3cW1yMnVFazkxRnhqZz09,"Selasa, 2 Juni 2020",
8,17.30 WIB,PD & PA - Tuhan Itu Baik Tetapi Penuh Kehangatan Amarah : Tuhan Adalah Tempat Pengungsian,Pdt. Calvin Bangun,http://bit.ly/griikebonjeruklive,http://grii-semarang.org/live/,"Selasa, 2 Juni 2020",
9,18.00 WIB,PA Wanita,Vik. Melinda J. Mesakh,https://us02web.zoom.us/j/5520095323?pwd=eTRLVjFnTkZSWHlZNkVkU0JGdzRFZz09,"Zoom Meeting ID : 552 009 5323,
Password : 1234567","Selasa, 2 Juni 2020",
10,18.00 WIB,PA Wanita - Iri Hati,Vik. Diana Bunjamin,http://bit.ly/griisamarindalive,,"Selasa, 2 Juni 2020",
11,18.30 WIB,PA - Eksposisi Kitab Yakobus : Pandai atau Bijak (2),Pdt. Sutjipto Subeno,Pendaftaran : http://tinyurl.com/PAOnlineGRIIBintaro,Atau via WA : https://wa.me/628119882277,"Selasa, 2 Juni 2020",
12,19.00 WIB,SPIK 1994 - Dinamika Hidup dalam Pimpinan Roh Kudus (bagian 2),Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Selasa, 2 Juni 2020",
